timestamp,frame,class_id,class_name,distance_m,velocity_m_s,angle_deg
1763153556.0518308,1,0,person,0.6852,,8.3144
1763153556.1903012,2,0,person,0.6778,-0.0271,8.9208
1763153556.323994,3,0,person,0.6669,-0.0790,9.2232
1763153556.4579864,4,0,person,0.6890,0.1843,8.7189
1763153556.6140974,5,0,person,0.6833,-0.0352,8.9712
1763153556.7721674,6,0,person,0.6815,-0.0121,8.9208
1763153556.9131854,7,0,person,0.6759,-0.0395,9.1728
1763153557.039118,8,0,person,0.6687,-0.0562,9.1728
1763153557.1487565,9,0,person,0.6564,-0.1104,9.6256
1763153557.2583106,10,0,person,0.6564,0.0000,9.6256
1763153557.3829966,11,0,person,0.6428,-0.1126,9.9268
1763153557.5089905,12,0,person,0.6428,0.0000,9.8264
1763153557.649992,13,0,person,0.6428,0.0000,9.8264
1763153557.775481,14,0,person,0.6189,-0.1758,10.6773
1763153557.8849654,15,0,person,0.6054,-0.1215,9.8264
1763153558.0117338,16,0,person,0.6330,0.2277,8.8198
1763153558.2616076,18,15,cat,0.8687,0.9692,10.8768
1763153558.3697805,19,0,person,0.4949,-3.0996,5.8717
1763153558.5871072,21,0,person,0.4824,-0.0578,6.2295
1763153558.7122357,22,0,person,0.4551,-0.2316,4.4362
1763153558.837959,23,0,person,0.4978,0.3366,3.8706
1763153558.9614615,24,0,person,0.4109,-0.6581,1.1886
1763153559.8350284,32,0,person,0.8484,0.5029,-4.3334
1763153559.9612103,33,0,person,0.8370,-0.0956,-4.0250
1763153560.0867758,34,0,person,0.8314,-0.0433,-3.9221
1763153560.2130358,35,0,person,0.8484,0.1354,-3.9221
1763153560.3226092,36,0,person,0.8601,0.1012,-3.7162
1763153560.4317706,37,0,person,0.8601,0.0000,-3.8192
1763153560.5431738,38,0,person,0.8484,-0.1004,-3.7162
1763153560.6486125,39,0,person,0.8630,0.1459,-3.7677
1763153560.7592096,40,0,person,0.8542,-0.0798,-3.8192
1763153560.8680873,41,0,person,0.8542,0.0000,-3.8192
1763153560.976846,42,0,person,1.0659,1.9145,-7.0963
1763153561.0863614,43,0,person,0.5101,-4.9676,3.6648
1763153561.1965005,44,0,person,0.8542,3.2379,-4.4362
1763153561.3201082,45,0,person,0.5111,-3.0559,4.8470
1763153561.4436965,46,0,person,0.8426,2.5987,-4.4362
1763153561.5683644,47,0,person,0.8342,-0.0659,-3.9735
1763153561.6945267,48,0,person,0.8455,0.0874,-4.1792
1763153561.8181174,49,0,person,0.8484,0.0255,-4.2306
1763153561.94464,50,0,person,0.5196,-2.4708,4.9496
1763153562.0699303,51,0,person,0.8484,2.7023,-3.9221
1763153562.1803412,52,0,person,0.8259,-0.1848,-3.7162
1763153562.28825,53,0,person,0.8178,-0.0747,-3.7677
1763153562.3973742,54,0,person,0.8342,0.1630,-3.6648
1763153562.5058012,55,0,person,0.8342,0.0000,-3.4588
1763153562.6307957,56,0,person,0.8178,-0.1396,-3.2528
1763153562.7554948,57,0,person,0.8046,-0.1041,-3.3043
1763153562.8803763,58,0,person,0.8455,0.3197,-2.0150
1763153562.990452,59,0,person,0.8046,-0.3552,-2.4794
1763153563.115577,60,0,person,0.7893,-0.1333,-2.5826
1763153563.2400017,61,0,person,0.7943,0.0376,-2.4794
1763153563.3490067,62,0,person,0.8204,0.2365,-2.6858
1763153563.4577827,63,0,person,0.8512,0.2828,-2.9436
1763153563.5673404,64,0,person,0.8398,-0.1028,-3.2528
1763153563.67638,65,0,person,1.1494,2.8781,-6.6378
1763153563.8950298,67,0,person,0.9204,-1.0371,-2.5310
1763153564.00348,68,0,person,0.9781,0.5620,-1.8084
1763153564.1281068,69,0,person,0.9781,0.0000,-1.8084
1763153564.2530634,70,0,person,1.0524,0.5558,-1.2920
1763153564.3621275,71,0,person,1.2471,1.8062,0.5169
1763153564.4866676,72,0,person,1.2471,0.0000,0.5169
1763153564.6127586,73,0,person,1.3482,0.7588,0.5685
1763153564.7391143,74,0,person,1.4252,0.6323,0.2584
1763153564.8632245,75,0,person,1.3704,-0.4241,0.9303
1763153564.973562,76,0,person,1.4758,0.9480,0.4652
1763153565.0816967,77,0,person,1.4935,0.1595,-0.1551
1763153565.192546,78,0,person,1.5396,0.4117,0.0000
1763153565.3017807,79,0,person,1.5786,0.3697,-0.5169
1763153565.425801,80,0,person,1.5492,-0.2510,-0.6719
1763153565.5517335,81,0,person,1.5116,-0.2799,-0.7753
1763153565.6610982,82,0,person,1.5025,-0.0854,-1.1370
1763153565.768994,83,0,person,1.4846,-0.1659,-0.7236
1763153565.8770301,84,0,person,1.5116,0.2476,-0.8786
1763153565.9864025,85,0,person,1.5116,0.0000,-0.7753
1763153566.0966733,86,0,person,1.4758,-0.3237,-1.0853
1763153566.2210693,87,0,person,1.4935,0.1516,-1.2920
1763153566.3454056,88,0,person,1.5396,0.3667,-1.1370
1763153566.4708147,89,0,person,1.5302,-0.0754,-0.5685
1763153566.5964036,90,0,person,1.2661,-2.1988,-1.2920
1763153566.722456,91,0,person,1.3555,0.6825,-2.5826
1763153566.8456357,92,0,person,0.9743,-2.9696,-1.7568
1763153566.9690747,93,0,person,1.5396,4.9519,-7.8077
1763153567.0942817,94,0,person,0.8660,-5.2345,-3.2013
1763153567.2187774,95,0,person,0.8426,-0.1860,-3.5103
1763153567.4492486,97,15,cat,1.5836,3.1625,-2.8405
1763153567.5591395,98,0,person,0.5175,-9.3397,3.3043
1763153567.6688168,99,0,person,0.5039,-0.1307,3.8706
1763153567.7923243,100,0,person,0.5352,0.2579,5.7694
1763153568.0108204,102,0,person,0.4959,-0.1770,3.1497
1763153568.120969,103,0,person,0.7674,2.5154,-2.9436
1763153568.246183,104,0,person,0.7674,0.0000,-3.1497
1763153568.3556933,105,0,person,0.5375,-1.9288,4.5389
1763153568.4657817,106,0,person,0.5375,0.0000,4.5389
1763153568.5758855,107,0,person,0.7627,2.0475,-3.6648
1763153568.684632,108,0,person,0.5458,-2.0201,5.3085
1763153568.9038308,110,0,person,0.5262,-0.0904,5.6670
1763153569.0130165,111,0,person,0.5399,0.1245,4.9496
1763153569.3400867,114,0,person,0.7401,0.6078,-0.1551
1763153569.4664915,115,0,person,0.7126,-0.2349,-0.9303
1763153569.5919402,116,0,person,0.6833,-0.2261,0.2584
1763153569.8130653,118,0,person,0.5295,-0.6899,6.6378
1763153569.938275,119,0,person,0.7086,1.5195,-0.9303
1763153570.0613475,120,0,person,0.5938,-0.8427,6.9945
1763153570.1698036,121,0,person,0.5341,-0.5513,6.3316
1763153570.2798657,122,0,person,0.5896,0.5098,6.6378
1763153570.3880978,123,0,person,0.5787,-0.1043,5.9228
1763153570.497787,124,0,person,0.5605,-0.1611,6.6378
1763153570.6058757,125,0,person,0.5446,-0.1491,5.2573
1763153570.7141473,126,0,person,0.5656,0.1862,5.6158
1763153570.8230093,127,0,person,0.5605,-0.0494,5.7182
1763153571.151773,130,0,person,0.5981,0.1142,6.9436
1763153571.6229148,133,0,person,1.2923,1.4540,3.8706
1763153571.8241127,134,0,person,1.0987,-1.0313,6.7397
1763153571.9963727,135,0,person,1.1441,0.2557,6.2805
1763153572.137346,136,0,person,1.4091,1.9899,4.2820
1763153572.3095083,137,0,person,1.4252,0.0882,4.1792
1763153572.4659805,138,0,person,1.1185,-1.9793,8.2638
1763153572.8412921,141,0,person,0.9238,-0.5131,12.6107
